tidak_baku,baku
jengket,berjengket
jengking,menjengking
jengkit,menjengkit
jengkolet,menjengkolet
jenguk,menjenguk
jengul,menjengul
jenius,genius
jenjeng,jinjing
jentur,jantur
jepet,jepit
jepit,menjepit
jeprat,menjeprat
jepret,menjepret
jerabai,berjerabai
jerafah,zarafah
jeragan,juragan
jerahak,terjerahak
jerahap,menjerahap
jerait,berjerait
jerajak,jerjak
jeramah,berjeramah
jerambai,berjerambai
jerang,menjerang
jerangkah,ceranggah
jerangkak,menjerangkak
jerangkang,berjerangkang
jerap,menjerap
jerba,menjerba
jerbak,menjerbak
jerejak,jerjak
jeremang,jermang
jeremba,menjeremba
jerembap,menjerembapkan
jerembat,terjerembat
jerembet,jerepet
jerembun,terjerembun
jerempak,berjerempak
jerepak,jerempak
jerigen,jeriken
jeringau,jerangau
jerobong,jerubung
jerohok,terjerohok
jerojol,menjerojol
jerongkes,jerungkis
jerongkok,menjerongkok
jerongkong,menjerongkong
jerpak,jerempak
jerukun,menjerukun
jerukup,menjerukup
jerumat,menjerumat
jerumbung,jerubung
jerumus,menjerumuskan
jerungkau,menjerungkau
jerungkung,menjerungkung
jerungkup,jerukup
jerunuk,terjerunuk
jetis,menjetis
jewer,menjewer
jiarah,ziarah
jibaku,berjibaku
jibilat,jibilah
jidal,bidal
jidor,jidur
jijit,menjijit
jijitsu,yuyitsu
jila,terjila
jilam,menjilami
jilat,menjilat
jimbit,menjimbit
jimpit,menjimpit
jina,zina
jinawi,loh
jinayat,ginayah
jinem,keraton
jingap,menjingap
jingau,menjingau
jingkat,berjingkat
jingkau,jangkau
jingkik,berjingkik
jingkrak,berjingkrak
jingu,menjingu
jiplak,menjiplak
jipsi,gipsi
jitak,menjitak
jiwit,menjiwit
joak,juak
joang,juang
jobak,berjobak
jodong,menjodongkan
Jogi,Yogi
jokong,jongkong
jolak,berjolak
jolek,menjolek
jolok,menjolok
jolor,menjolor
jomblo,jomlo
jompak,berjompak
jonget,menjonget
jongkah,jongkang
jonjot,menjonjot
juandang,bujang
jubel,berjubel
jublek,menjublek
jubung,jerubung
jugi,yogi
Juja,Jauza
jujai,berjujai
jujat,jujah
juju,menjuju
jujuh,berjujuh
jujut,menjujut
jukung,jongkong
jumanten,jumantan
jumawa,jemawa
jumbul,berjumbul-jumbul
jumpa,muka
jumpalit,berjumpalit
jumput,menjumput
junam,menjunam
jundai,sijundai
jungat,menjungat
jungkal,balik
jungkang,jungkang-jungkit
jungkar,menjungkar
jungkat,jungkat-jungkit
jungkel,jungkal
jungkir,berjungkir
jungkir balik,balik
jungkit,menjungkit
jungkung,jongkong
juntai,berjuntai
juntrung,juntrungan
jupang,berjupang
jurah,jura
juran,joran
juriat,zuriah
Kaabah,Kakbah
kabab,kebab
Kabah,Kakbah
kabat,mengabat
kabruk,kabruk-kabrukan
kabuli,kebuli
kacang kedelai,kedelai
kacang mede,mede
kacau balau,kacau-balau
kacir,mengacir
kaco,kacau
kacoak,kecoak
kadaluwarsa,kedaluwarsa
kadha,kada
kaedah,kaidah
kahang,kohong
kahwin,kawin
kain antelas,antelas
kain basahan,basahan
kain belacu,belacu
kain beledu,beledu
kain belongsong,belongsong
kain cindai,cindai
kain cita,cita
kain damas,damas
kain dewangga,dewangga
kain dril,dril
kain kafan,kafan
kain kampuh,kampuh
kain kembayat,kembayat
kain lajak,lajak
kain lurik,lurik
kain pike,pike
kain poleng,poleng
kain popok,popok
kain songket,songket
kain tegarun,tegarun
kain terpal,terpal
kain tik,tik
kais,mengais
kakah,terkakah-kakah
kakar,kekar
kaki telanjang,ayam
kakok,mengakok
kalakatu,kelekatu
kalambak,kelembak
kalembak,kelembak
kalicau,mengalicau
kalifah,khalifah
kalih,berkalih
kalikasar,kalikausar
kalipah,khalifah
kalkarim,kalkarium
kalkausar,alkausar
kaluk,keluk
kalulus,kelulus
kamban,mengamban
kambau,kambar
kambrat,kamerad
kambus,terkambus
kameli,kambeli
kamfer,kamper
kamir,khamir
kamit,kamit-kamit
kamkama,kurkuma
kampai,berkampai
kampak,kapak
kampang,kapang
kampit,kampil
kampul,terkampul-kampul
kanaat,kanaah
kanah,kanaah
kanat,kanaah
kancana,kencana
kanceh,terkanceh
kandar,mengandar
kangguru,kanguru
kanjang,berkanjang
kansel,mengansel
kantar,berkantaran
kapah,terkapah-kapah
kapai,terkapai-kapai
kaparat,kafarat
kapilah,kafilah
kapir,kafir
kapit,pengapit
kaplars,kaplares
kapling,kaveling
kaplok,dada
kaplok dada,dada
kapu,kapu-kapu
kapulaga,kepulaga
kapung,terkapung-kapung
karaba,karamba
karau,berkarau
karbit,karbida
karbonium,karbon
kardan,gardan
kariah,qariah
karih,mengarih
karir,karier
karkausar,alkausar
karosel,korsel
karotin,karotena
karpus,kerpus
kartonis,kartunis
karuan,keruan
karut,berkarut
karyat,karyah
kasak-kisik,kasak-kusuk
kasemek,kesemek
kasiat,khasiat
kasima,kesima
kaso,kasau
kastil,kastel
kasuma,kusuma
kasumat,kesumat
kasuwari,kasuari
kaswi,kasui
katagori,kategori
katah,terkatah-katah
katalogus,katalog
katam,khatam
katan,khitan
kate,katai
katirah,ketirah
katistiwa,khatulistiwa
katlum,katelum
kaula,kawula
kaung,kawung
kausar,alkausar
kaut,mengaut
kaver,mengkaver
kavling,kaveling
kawatir,khawatir
kawul,kaul
kayai,mengayaikan
kayal,khayal
kayambang,kiambang
kayu cendana,cendana
kayu cendana kayan,kayan
kayu cendana pok,pok
kayu cendana sugi,sugi
kazanah,khazanah
kebambam,kebembem
kebin,kabin
kebit,kebat
kebo,kerbau
kebur,mengebur
kecai,berkecai
kecak pinggang,pinggang
kecam,mengecam
kecamuk,berkecamuk
kecimik,kecomak-kecimik
kecindan,kecandan
kecipung,kecimpung
kecuak,kecoak
keda,kedah
kedar,kadar
kedau,mengedau
kedek,kedek-kedek
kedele,kedelai
kedemat,khidmat
kedengkung,kedengkang
kedewaga,kedewas
kedongdong,kedondong
kedongkok,dongkok
keduk,teplok
kehel,terkehel
kejan,mengejan
kejar,berkejaran
kejibeling,kecibeling
kejolak,gejolak
kejuju,mengejuju
kekaras,karas
kekeh,terkekeh-kekeh
kekol,mengekol
kekudung,kerudung
kelab,malam
kelabak,kelabakan
kelabet,kelabat
keladau,mengeladau
kelai,mengelai
kelamai,gelamai
kelamarin,kemarin
kelandera,kelendara
kelantang,mengelantang
kelasah,kelasah-kelusuh
kelebat,berkelebat
kelebet,kelebek
kelebuk,ara
kelejat,berkelejat
kelelot,berkelelot
kelemantang,kalimantang
kelemarin,kemarin
kelembai,kelambai
kelemban,berkelemban
kelembubu,halimbubu
kelembung,gelembung
kelempai,terkelempai
kelemumur,kelemur
kelemunting,kemunting
kelenggara,mengelenggarakan
kelengking,kelengkeng
kelep,klep
kelepai,berkelepai
kelepat,mengelepat
kelepek,terkelepek
kelepur,mengelepur
kelesot,mengelesot
keletar,geletar
keleti,keliti
keliar,berkeliaran
kelibang,berkelibang
kelicih,kelicik
kelicik,gelicik
kelidai,kenidai
kelikah,khalikah
kelikik,mengelikik
kelimantang,kalimantang
kelincir,gelincir
kelinjat,terkelinjat-kelinjat
kelintar,berkelintaran
kelis,mengelis
kelisah,gelisah
kelit,berkelit
keloceh,celoteh
kelola,mengelola
kelolong,terkelolong
kelon,mengeloni
kelonet,sekelonet
kelosok,mengelosok
keloyak,berkeloyak
keloyor,mengeloyor
kelubak,terkelubak
kelubung,selubung
kelukur,berkelukur
kelumit,sekelumit
kelun,berkelun-kelun
kelupas,mengelupas
kelupur,mengelupur
keluruk,keruyuk
kelut,kelut-melut
keluwek,keluak
keluyur,berkeluyuran
kemak-kemik,kemik
kemal,berkemal
kemalai,gemulai
kemanakan,kemenakan
kemandang,kumandang
kembang biak,biak
kembara,embara
kembeng,mengembeng
kembol,mengembol
kembur,berkembur
kementam,berkementam
kemilau,kilau
keminting,kemiri
kemong,kemung
kempes,kempis
kemucing,kemoceng
kemudu,mengkudu
kemuncak,puncak
kemundir,kemendur
kemut,mengemut
kenang,mengenang
kenantan,kinantan
kencar,terkencar-kencar
kendak,gendak
kendana,mengendanai
kendara,terbang
kendong,mengendong
kendor,kendur
kengkang,kangkang
kenor,kenur
kensel,mengensel
kentong,kentung
kenung,kenong
kenyam,mengenyam
kenyap,kenyam
kenyit,mengenyit
kenyut,mengenyut
kepau,kepar
keplak,mengeplak
kepoh,mengepohkan
kepok,kepoh
keprek,mengeprek
kepris,mengepris
kepruk,mengepruk
kepudang,kepodang
kepung,berkepung
kepuyuh,puyuh
keraeng,karaeng
keram,mengeram
kerang bulu,batu
kerangga,kerengga
kerangkang,kelangkang
keranjat,terkeranjat
keratau,kertau
kerbuk,mengerbuk
kercing,mengercingkan
kercit,mengercitkan
kerdip,kedip
kerdum,kerdam
kerdut,kedut
kerebok,mengerebok
kereceng,mengerecengkan
kerekah,kerkah
kerekut,kerekot
kerempagi,kerampagi
keremunting,kemunting
keremus,mengeremus
keremut,keremot
kerencing,kerenting
kerenggamunggu,kardamunggu
kerengkiang,rengkiang
kerenyau,kernyau
kerenyit,kernyit
kerenyot,mengerenyot
kerenyut,kernyut
kerepai,kerpai
kerepak,kerpak
kerepek,keripik
kerepot,keriput
keretot,kerekot
keretut,kerekot
keriap,berkeriapan
keriat-keriut,keriang-keriut
keriau,berkeriau
kericau,berkericau
kerikit,mengerikiti
kerimuk,kerumuk
keringsing,geringsing
kerinjang,mengerinjang
kerinyut,kernyut
kerjang,udara
kerjap,mengerjap
kerkah,mengerkah
kerkau,mengerkau
kerkeling,kerakeling
kermunting,kemunting
kernai,mengernai
kernying,mengernying
kerobek,mengerobek
kerodong,kerudung
keronco,keroncor
keroncot,kerucut
kerongsong,kelongsong
keronsang,kerongsang
kerontang,kering
keropong,keropok
kerosang,kerongsang
kerosek,kerosak
kerot,kerang-kerot
keroyok,mengeroyok
kersen,kers
kersip,kedip
kerubian,kerubin
kerubung,berkerubung
kerukut,mengerukut
kerumit,mengerumit
kerumuk,berkerumuk
kerumun,berkerumun
kerumus,mengerumus
kerutak,mengerutak
kesam,berkesam
kesang,mengesang
kesek,mengesek
kesel,mengesel
kesi,kesu-kesi
kesiap,terkesiap
kesima,terkesima
kesiur,berkesiur
kesmaran,kasmaran
kesot,berkesot
kesuma,kusuma
kesumat,kesumat
kesut,terkesut-kesut
ketah,kutaha
ketap,mengetap
ketap-ketap,berketap-ketap
keter,fase
ketikan,tikan
ketil,berketil-ketil
ketimbung,kecimpung
ketimun,mentimun
ketimus,timus
ketis,mengetis
ketonggeng,ketungging
ketrek,mengetrek
ketrok,ketuk
ketual,katwal
kewuh,mengewuhkan
khabar,kabar
khalil,Allah
kharisma,karisma
khaul,haul
khudu,khuduk
khulak,khuluk
khusuk,khusyuk
kiah,mengiah
kiak,kiak-kiak
kibar,berkibar
kibernetika,sibernetika
kibik,kubik
kidab,kizib
kidamat,khidmat
kifarat,kafarat
kifayah,fardu
kijip,kejap
kiju,keju
kikih,terkikih-kikih
kikik,berkikikan
kimar,himar
kimbah,mengimbah
kimbang,berkimbang-kimbang
kimpa,kimpal
kimpus,terkimpus
kin,ken
kincah,mengincah
kincak,terkincak-kincak
kincau,mengincau
kindap,terkindap-kindap
kingka,kimkha
kingkip,kingking
kingkit,kingking
kinjat,terkinjat
kintar,kitar
kinyam,kenyam
kiong,keong
kip,kep
kipai,mengipaikan
kipal,kimpal
kipar,kepar
kiparat,kafarat
kiprat,mengipratkan
kiraah,qiraah
kiraat,qiraah
kirabat,kerabat
kiran,haji
kirap,mengirap
kirim,berkirim
kirung,berkirung
kiryah,karyah
kiryat,karyah
kisai,mengisai
kismet,kismat
kitik,mengitik
kiut,kicut
klas,kelas
klen,klan
klengkeng,lengkeng
klenteng,kelenteng
klobot,kelobot
klor,klorin
koar,berkoar
kobar,berkobar
kocoh,terkocoh-kocoh
kocor,mengocor
kohlea,koklea
kojah,khojah
kojol,terkojol-kojol
kokang,mengokang
kokoa,kakao
kokoh,kukuh
kolah,kulah
kolang-kalik,kolang-kaling
kolembeng,kolomben
koliseng,ginseng
kolomnis,kolumnis
komariah,kamariah
komit,mengomit
komkoma,kurkuma
komoditi,komoditas
kompes,mengompes
komplit,komplet
kon-,ko-
konan,mengonan
konfrontir,konfrontasi
kongkol,sekongkol
kongkow,kongko
kongkret,konkret
kongkurs,konkurs
konperensi,konferensi
konsentrik,konsentris
konsinyering,konsinyasi
konsortium,konsorsium
konstatir,mengonstatir
koordinir,koordinasi
kopah,berkopah-kopah
kopeling,kopling
koperatif,kooperatif
koperativisme,kooperativisme
kopor,koper
kopyok,mengopyok
korden,gorden
kores,gores
koret,koretan
korma,kurma
korsi,kursi
korum,kuorum
kos,indekos
kosambi,kesambi
kosek,mengosek
kosel,terkosel-kosel
koset,keset
kotah,sekotah
kotbah,khotbah
koteng,terkoteng-koteng
koterek,kotrek
kotes,mengotes
kowak,kuak
krah,kerah
krai,kerahi
krail,kerahi
krakal,kerakal
krama,kromo
kran,keran
krebo,kribo
krematori,krematorium
kreseh-peseh,kareseh-peseh
kriminil,kriminal
kriterium,kriteria
krom,kromium
kromong,gambang
kroniometri,kraniometri
ksatria,kesatria
kua,koa
kuai,terkuai-kuai
kuartir,kwartir
kuarza,kuarsa
kuatir,khawatir
kuayah,kuayah
kubit,mengubit
kucandan,kecandan
kucek,mengucek-ngucek
kucil,mengucil
kucindan,kecandan
kucung,kocong
kucut,kecut
kuda karengga,karengga
kuda teji,teji
kudang,kudangan
kudi,kodi
kudidi,kedidi
kudil,kudis
kueni,kuini
kuetiau,kwetiau
kuing,kaing
kuit,gamit
kuja,khojah
kukang,kungkang
kukuk beluk,kokokbeluk
kukut,kokot
kulambai,kelambai
kulari,kelari
kuldi,khuldi
kulikat,kelikat
kulimat,berkulimat
kulintang,kolintang
kulio,kalio
kulit padi,sekam
kulkulah,kalkalah
kulzum,laut
kuma-kuma,kurkuma
kumala,kemala
kumango,kumanga
kumayan,kemenyan
kumbah,mengumbah
kumbara,embara
kumel,kumal
kumkuma,kurkuma
kumpar,mengumpar
kumpul,berkumpul
kumur,berkumur
kumut,berkumut
kuna,kuno
kunar-kunar,berkunar-kunar
kuncir,kucir
kuncit,kucir
kunir,kunyit
kuntit,menguntit
kunyah,mengunyah
kuotum,kuota
kupas,mengupas
kupil,mengupil
kupu,kufu
Kuran,Alquran
kuricak,kuricakan
kurung kurawal,kurawal
kuruyuk,kukuruyuk
kus,dekus
kusal,mengusal
kusau,berkusau-kusau
kusen,kosen
kusik,berkusik
kusruk,mengusruk
kusti,gusti
kuta,berkuta
kutbah,khotbah
kutik,berkutik
kutika,ketika
kutilang,ketilang
kuting,berkuting-kuting
kutip,mengutip
kuwalat,kualat
kuyam,koyam
kwartet,kuartet
kweni,kuini
kwiz,kuis
kwosien,kuosien
lab,laboratorium
labah-labah,laba-laba
labrak,melabrak
labrang,laberang
labun,berlabun-labun
lacut,melacut
laden,meladeni
lagang,melagang
lahat,lahad
lahip,daif
lailat,lailah
laip,daif
laka,lak
lakak,melakak
lakri,lakeri
lalak,melalak
lalalat,dalalat
lalau,melalau
laler,lalat
lalim,zalim
lamar,melamar
lambai,berlambai-lambai
lamender,lemender
laminah,lamina
lampan,melampan
lampar,berlampar
lampir,melampiri
lampoyang,lempuyang
lampoyangan,lempuyangan
lampung,melampung
lancit,lencit
lancong,melancong
lancur,melancur
landau,melandau
landut,landung
langah,melangah
langak-languk,langak-longok
langca,lancia
langcia,lancia
langgan,berlanggan
langgang,langgang
langgung,melanggungkan
langkang,memperlangkangkan
langkitang,lengkitang
langkuas,lengkuas
langsang,langseng
langsep,langsat
languh,lenguh
langut,melangut
lanja,melanja
lanjau,terlanjau
lanjuk,telanjuk
lansai,langsai
lansar,langsar
lansat,langsat
lansekap,lanskap
lansi,langsi
lansia,usia
lantan,melantan
lantera,lentera
lantur,melantur
lanus,melanus
lanyak,melanyak
laoteng,loteng
lapad,lafal
lapal,lafal
lapaz,lafal
lapih,berlapih
lapo,lepau
lapur,berlapur
larai,melarai
larih,berlarih-larih
lasit,lesit
lasykar,laskar
latam,melatam
latang,jelatang
latas,melatas
latih,berlatih
latis,melatis
latma,bersama
latu,lelatu
laun-laun,hari
lavender,lavendel
lawat,melawat
lawean,lema
layam,melayam
layan,melayani
layat,melayat
layuk,melayuk
lazat,lezat
lebang,pinggang
lebas,melebas
leber,luber
lecer,lecet
leci,lici
lecit,melecit
lecun,melecun
lecur,melecur
ledak,meledak
ledeng,leding
ledos,meledos
leduk,meleduk
ledung,meledung
legah,lega
legalisir,legalisasi
lego,melego
legojo,algojo
legu,melegu
legundi,lenggundi
lehar,rehal
lejit,melejit
lekah,rekah
lekam,melekam
lekemia,leukemia
lekosit,leukosit
leku,meleku
lelabah,laba-laba
lelabi,labi-labi
lelai,melelai
lelak,rerak
lelangit,langit-langit
lelangse,langsai
lelar,memperlelar
lelawa,kelelawar
lelep,melelepkan
leli,lili
lelung,lelang
lembab,lembap
lembai,melembai
lembak,melembak
lemban,lembam
lembega,rembega
lembesu,tembesu
lembik,lembek
lembusir,lemusir
lemender,lamender
lemidang,lembidang
lempah,limpah
lempai,berlempaian
lempam,lempem
lempang,melempang
lempap,melempap
lempedu,empedu
lempem,melempem
lempenai,lampeni
lempeni,lampeni
lempoh,lempuh
lempok,lempuk
lempuh,melempuh
lemukat,melukut
lemukut,melukut
lemungsir,lemusir
lemuru,lemburu
lenan,linen
lencet,lecet
lencit,melencit
lenda,melenda
lendeh,melendeh
lender,lendir
lendot,melendot
lenga,bijan
lengak,melengak
lengau,langau
lenger,lengar
lenggak,melenggak
lenggara,selenggara
lenggong,melenggong
lenggor,melenggor
lengkas,langkas
lengkesa,berlengkesa
lengkiang,rangkiang
lengos,melengos
lengset,belengset
lenjan,melenjan
lenser,lengser
lenset,lengset
lentun,lantun
lenyeh,melenyeh
leontin,liontin
leot,meleot
lepit,melepit
leplap,liplap
lepot,berlepotan
leram,deram
lerik,derik
lerok,melerok
lerot,berlerot
lerum,derum
lesah,lasah
lesang,melesang
lesat,pelesat
lesau,desau
lesek,lasak
leset,peleset
lesih,lesi
lesot,melesot
letek,peletek
letis,meletis
letos,meletos
lewa,melewa
lewah,melewah
lewar,melewar
leyeh,leyeh-leyeh
leyot,meleyot
liang lahat,lahad
liau,meliau
libas,melibas
libat,berlibat
libereto,libreto
ligar,berligar-ligar
ligas,meligas
ligat,meligat
ligih,meligih
lihat,melihat
likut,berlikut
lilah,melilah
lilau,melilau
limbai,melimbai
limbak,berlimbak-limbak
limbur,melimbur
limfopenia,limfositopenia
limonade,limun
limpap,berlimpap
limpau,melimpaui
limut,melimut
linan,linen
linang,berlinang
lincam,melincam
lindak,berlindak-lindak
lindas,melindas
lindik,melindik
lindis,melindis
lindur,melindur
lingar,melingar
linggam,sedelinggam
lingkis,melingkis
lingkung,melingkung
linjak,melinjak
lintadu,sentadu
linyar,melinyar
liput,meliput
lisani,huruf
litsus,khusus
liver,lever
lobang,lubang
locok,melocok
locot,melocot
loha,duha
lohor,zuhur
lokalisir,lokalisasi
loktong,loki
lombar,melombar
lomot,melomot
lompok,berlompok-lompok
lonco,melonco-lonco
londong,melondong
longak-longok,melongak-longok
longo,melongo
longok,melongok
longong,terlongong-longong
lonsong,terlonsong
lontai,melontai
lorot,melorot
losin,lusin
loso,meloso
losong,kosong
loyong,meloyong
luap,meluap
luasa,leluasa
lubur,belubur
luhak,luak
luik,meluik
lukat,melukat
lukis,melukis
lulum,melulum
lum,masak
lumai,hutan
lumang,berlumang
lumar,berlumar
lumas,melumas
lumpuk,melumpukkan
lumur,berlumur
luncur,meluncur
lungsar,terlungsar
lungsung,melungsung
lunjur,berlunjur
lunta,terlunta
luntang-lantung,lontang-lantung
lunyah,melunyah
lupi,papan
lupuh,melupuh
lupung,jantan
luru,meluru
luyut,berluyutan
ma,mak
mabir,tabir
macakal,gending
macang,embacang
macat,macet
mada,madar
madaliun,medalion
madarat,mudarat
madarsah,madrasah
maddah,madah
madia,madya
maesan,nisan
magep-magep,megap-megap
magfirat,magfirah
magik,magis
magnetik,magnetis
magobi,mahoni
mahaligai,mahligai
mahbubat,mahbubah
mahful,mahfuz
mahisa,mahesa
mahraj,makhraj
mahsar,mahsyar
mahsul,hasil
mahzab,mazhab
mai,puki
mait,mayat
maja-muju,jemuju
majer,majir
majilis,majelis
majlis,majelis
majuj,yakjuj
makas,mangkas
makena,mukena
makota,mahkota
makroni,makaroni
maktub,termaktub
makyung,makyong
malaik,malaikat
malak,malaikat
malakama,malakama
malakulmaut,malaikatulmaut
malangkamo,malakama
malau,embalau
malaun,malun
malin,malim
mamah,memamah
mamar,mamang
mampat,pampat
mancis,macis
mancit,mencit
mancur,pancur
mandarsah,madrasah
mandiang,mendiang
mandulika,mandalika
mandur,mandor
manggistan,manggis
manggusta,manggis
manggut,anggut
mangkah,mangkar
mangkal,pangkal
mangkara,makara
mangkih,cangkih
mangkin,makin
mangkokan,mangkok
mangsai,masai
manikin,maneken
manjakani,majakane
manjau,bermanjau
mantari,mentari
mantera,mantra
manti,menteri
mantol,mantel
manyala,nyala
mapak,papak
marfuk,hadis
marhum,almarhum
marhumah,almarhumah
marihuana,mariyuana
marikan,merikan
marjin,margin
marjinal,marginal
marjinalisasi,marginalisasi
marka,markah
marmar,marmer
marmut,marmot
marut,carut
marwah,muruah
marzipan,marsepen
masai,kusut
masal,massal
masap,memasap
masarakat,masyarakat
masgul,masygul
mashaf,mushaf
mashur,masyhur
masokisme,masokhisme
masori,masohi
masoyi,masoi
mastautin,bermastautin
masyakat,masyakah
masyhaf,mashaf
masyuk,asyik
mataliur,mitraliur
mateng,matang
materai,meterai
matres,matris
matur,paduka
maulaya,maulai
maupun,mau
mawas diri,diri
mawat,mati
mawin,kawin
mawon,mawon
mayar,kelemayar
mayas,mawas
mayit,mayat
mayur,sayur
mazkur,termazkur
mecis,macis
medeli,medali
meduk,medok
mejelis,majelis
mejen,mejan
mekis,mengkis
melaka,malaka
melambing,melambang
melankonis,melankolis
melapari,malapari
melerang,belerang
melesat,pelesat
meleset,peleset
meling,meleng
melotot,pelotot
melpari,malapari
mem-,me-
memandai,diri
memayah-mayahkan diri,memayah-mayahkan
membacang,embacang
membang,mambang
membanter,biola
membruk,mambruk
memerang,memberang
memerhatikan,memperhatikan
memetang-metangkan,hari
mempedal,empedal
mempelas,akar
memunyai,mempunyai
memur,memar
men-,me-
menalu,benalu
menarungkan nyawa,jiwa
menasabah,munasabah
menat,minat
menatu,penatu
mencok,menclok
mencret,menceret
mendali,medali
mendalika,mandalika
mendalu,benalu
mendasun,tunggal
mendeleka,mandalika
mendelika,mandalika
mendem,mendam
mendeng,sendeng
mendora,mendura
mendreng,mindring
menepaat,manfaat
menetal,menetalkan
meng-,me-
mengah,termengah-mengah
menge-,me-
mengeh,mengi
menget,senget
mengga,semengga
menggerib,magrib
mengicip,cicip
mengkar,mekar
Mengkara,Makara
mengkarung,bengkarung
mengkawan,bengkawan
mengkel,mengkal
mengkelan,termengkelan
mengkerat,mengkeret
mengkilap,kilap
mengkilat,kilat
mengking,cengking-mengking
mengkirik,kirik
mengkis,memengkis
mengkuang,bengkuang
mengok,mengot
mengor,mengot
mengsong,mengsol
mengung,termengung
mengunggas,puding
menila,manila
menira,manira
menjak,semenjak
menjana,semenjana
menjelai,jelai
menjelis,majelis
mens,menstruasi
mensiu,mesiu
menta,meta
mentang,mentang-mentang
mentangur,bentangur
mentelah,sementelah
menteros,matros
mentika,mestika
mentua,mertua
menturung,benturung
menung,bermenung
meny-,me-
menyadar,-arwah
menyan,kemenyan
menyawak,biawak
menyepikan,-diri
meram,merem
merangkit,rangket
merbak,semerbak
merbaya,bahaya
merbot,marbut
merca,murca
mercapada,marcapada
mercu suar,mercusuar
mercun,mercon
mercupada,marcapada
mereng,miring
merguk,berguk
mering,kurus
merino,domba
merjer,merger
merpelai,mempelai
merta,serta
mertega,mentega
merual,merawal
merubah,mengubah
merubu,merubu-rubu
merut,kerut
mesigit,masjid
mesjid,masjid
meskat,maskat
mesta,semesta
mesui,masoi
mesut,kusut
met-,meta-
metafisik,metafisika
metonimi,metonimia
mezbah,mazbah
miap,tiap
midik,midik
mikroba,mikrob
milioner,miliuner
minantu,menantu
minatu,penatu
mipis,tipis
mirai,tirai
misua,misoa
mocok,pocok
moga,moga-moga
molotov,bom
mong,mung
mongkor,mungkur
morak,morat-marit
morak-marik,morat-marit
moreng,coreng
morse,kode
mozah,mojah
muadin,muazin
muasal,asal
mucikari,muncikari
mudakar,muzakar
mudun,bermudun
muhit,almuhit
muih,muih
muk,mok
mulat,mulato
mules,mulas
multimilioner,multijutawan
mulur,memulur
mumur,hancur
muna,muno
muncung,moncong
mungguk,munggu
munisi,amunisi
mupaham,mufaham
mupakat,mufakat
muparik,mufarik
murat-marit,morat-marit
murba,Wisesa
musabakah,musabaqah
musafar,musafir
musi,mungsi
musola,musala
muson,monsun
mustak,musytak
mustami,mustamik
musti,mesti
mustika,mestika
musyawarat,musyawarah
musykil,muskil
mutabar,muktabar
mutamad,muktamad
mutmainah,nafsu
muwarikh,muarikh
na,nah
naas,nahas
nadar,nazar
nadirat,nadir
nafas,napas
nahak,ternahak
nahkoda,nakhoda
nahwu,nahu
naik pelaminan,pelamin
najasat,najasah
naka,bernaka-naka
nakoda,nakhoda
nala,bernala-nala
nalih,nali
nampak,tampak
nampal,napal
nanda,ananda
nangkoda,nakhoda
napi,nafi
napsi,nafsi
napsu,nafsu
narawastu,narwastu
narestu,narwastu
narkotika,narkotik
narsisme,narsisisme
nasakh,menasakhkan
nasehat,nasihat
nasi beriani,beriani
nau,enau
nawastu,narwastu
nayaga,niyaga
neces,necis
negari,nagari
neka,aneka
nekad,nekat
nekel,nikel
nenar,nanar
nenas,nanas
nenekanda,nenenda
nenes,menenes
neonatal,neonatus
neonisasi,peneonan
netralisir,netralisasi
nganga,menganga
ngeang,hantu
ngenas,mengenas
ninitowong,ninitowok
nipas,nifas
nir,nir-
niru,nyiru
niur,nyiur
nomer,nomor
nonoh,senonoh
notulen,notula
nukil,menukil
nukleat,asam
nurmala,nirmala
nyah,enyah
nyamik,nyamikan
nyampang,senyampang
nyanya,menyanya
nyanyi,bernyanyi
nyanyu,menyanyu
nyenyeh,menyenyeh
nyenyet,nyenyat
nyonyong,menyonyong
nyonyor,menyonyor
nyonyot,nyunyut
obrak-abrik,ubrak-abrik
obrol,mengobrol
obyek,objek
obyektif,objektif
obyektivisme,objektivisme
obyektivitas,objektivitas
oceh,mengoceh
ogam,mengogam
ojah,oja
ojeg,ojek
ojok,mengojok
oktan,oktana
olah tubuh,olahraga
olah-olah,-
olek,mengolek
oles,mengoles
olet,mengolet
olia,aulia
ombang-ambing,mengombang-ambing
omel,mengomel
omnivora,omnivor
omprong,mengomprong
omset,omzet
on,ons
once,cangklong
ondok,mengondokkan
ongkok,mengongkok-ongkok
onta,unta
onyok,mengonyok
onyot,mengonyot
opau,pao-pao
oper,mengoper
oplet,opelet
orasio,orasi
oreol,aureol
orisinil,orisinal
orografik,curahcurahan
ose,kacang
otak-atik,mengotak-atik
otentik,autentik
otoaktivitas,autoaktivitas
otobiografi,autobiografi
otodidak,autodidak
otograf,autograf
otografi,autografi
otokrasi,autokrasi
otokrat,autokrat
otokritik,autokritik
otomasi,automasi
otopsi,autopsi
otorita,otoritas
otoritarian,otoriter
otoritet,otoritas
ovari,ovarium
pacat,pacet
pacek,berpacek
pacik,memacik
pacis,pacih
padepokan,pedepokan
padusi,pedusi
paedah,faedah
paes,memaes
pagas,memagas
pahing,paing
pajan,memajankan
pajang,memajang
pakbon,vakbon
pakma,patma
pakuk,memakuk
palar,memalarkan
palasik,pelesit
pale,memale
pali,pemali
palm,palem
palma,palem
palmit,palmin
