tidak_baku,baku
bilyar,biliar
bilyun,biliun
bimbit,membimbit
binari,biner
binatu,penatu
bincacau,bincacak
bincang,berbincang
bingkas,membingkas
bingkis,membingkis
binjat,membinjat
biopendar,cahaya
birahi,berahi
birih,birai
bisan,besan
biskal,beskal
biskop,uskup
blantika,belantika
blepot,lepot
blokir,memblokir
bloon,beloon
bohok,buhuk
boikot,memboikot
bokot,bukut
bolot,membolot
bolsak,bulsak
bomantara,bumantara
bombardir,membombardir
bomor,bomoh
bonafid,bonafide
bonceng,membonceng
bongkak,congkak
bongkas,bungkas
bongkok,bungkuk
bonglai,bangle
bongmeh,membongmeh
bongsai,bonsai
bonyor,bonyok
bopong,membopong
borak,burak
borhan,burhan
borkol,brokoli
bostan,bustan
bota,buta
botor,kacang
brana,raja
brangas,berangas
brangus,berangus
bredel,beredel
breksi,breksia
brengsek,berengsek
brewok,berewok
brisan,bom
bromocorah,bramacorah
brongkos,berongkos
bubuh,membubuh
bubur harisah,harisah
budur,terbudur
buhur,buhul
bujanggi,bujangga
bukut,membukut
bulak,bulakan
bulug,balig
buluh talang,talang
bumel,api
bumi rata,membumiratakan
bungar,bungaran
bungkah,bongkah
bunker,bungker
bunuh,membunuh
bupet,bufet
burai,berburai
Burjusumbulat,Sunbulat
buru,berburu
burun,buron
burung enggak kecil,kecil
burung kuak,kuak
burung kuak-kuak,kuak
burung kuar,kuar
burung kuaran,kuar
burung murai,murai
burung punai,punai
busar,busur
butun,pohon
buyur,membuyur
byarpet,biarpet
cabe,cabai
cabur,kecaburan
cabut,mencabut
cacengklok,cecengklok
caci-maki,maki
cadir,cadar
caduk,mencaduk
cadung,bercadung
cagil,mencagil
cagun,mencagun
cagut,mencagut
cakmau,camau
cakur,cekur
calempong,celempong
calus,celus
cambah,kecambah
camcau,cincau
camil,camilan
camur,mencamurkan
canak,mencanak
cancut,bercancut
candak,cekel
candan,kecandan
candang,berani
cangah,mencangah
cangcang,mencangcang
cangga,cenangga
cangget,pineng
cangkau,cengkau
cangkel,mencangkel
cangkih,mangkih
cangkok,mencangkok
cangku,cengkau
cangkum,mencangkum
cangkung,bercangkung
cangkup,mencangkup
canguk,mencanguk
canteng,cantengan
cantol,mencantolkan
cantum,bercantum
capiau,cepiau
caplok,mencaplok
carah,bercarah
caran,bercaran
carat,carak
cari,bercari
caring,mencaring
carter,mencarter
casis,sasis
catat,mencatat
catek,mencatek
catet,catat
cauk,caung
caya,cahaya
cebak,bercebak
cebik,mencebik
cebir,mencebir
cebok,bercebok
cecah,bercecah
cecar,mencecar
cecok,cekcok
cedal,cadel
cedong,cedok
cegah,mencegah
cegas,cergas
cegat,mencegat
cekalang,cakalang
cekap,cekak
cekat,cekatan
cekau,mencekau
cekek,cekik
cekeram,cengkeram
cekerau,cekarau
cekiber,cekibar
cekih,mencekih
cekluk,tercekluk
ceku,menceku
cekut,mencekut
celampak,mencelampakkan
celang,mencelang
celapak,mencelapaki
celas,celus
celat,mencelat
celatuk,bercelatuk
celeguri,seleguri
celengkang,celengkok
celepa,selepa
celepak,celapak
celetuk,menceletuk
celinguk,celingukan
celis,mencelis
celok,celuk
celos,celus
celuk,menceluk
celum,celam-celum
celum-celam,celam-celum
celupar,celopar
cemat,mencemat
cembeng,cengbeng
cemengkian,cemekian
cempeng,cempek
cempera,bercempera
cemplung,mencemplung
cempoa,sempoa
cempuling,tempuling
cencurut,celurut
cengam,mencengam
cengang,bercengangan
cengap,mencengap
cenggek,tenggek
cengkeh,cengkih
cengkeling,sengkeling
cengkelong,mencengkelong
cengkerma,cengkerama
cengkolong,cengkelong
cengkuk,cengkok
cengkuyung,tengkuyung
cengung,tercengung
cengut,mencengut
centadu,sentadu
cenung,tercenung
cepaka,cempaka
cepit,jepit
ceplos,menceploskan
cerabih,mencerabih
cerabut,tercerabut
ceracah,cerancang
ceracam,menceracam
ceracau,menceracau
cerak,bercerak
cerancang,bercerancangan
ceratai,mencerataikan
ceratuk,berceratuk
cercap,mencercap
ceret,cerek
cericau,bercericau
ceritera,cerita
cerkas,cergas
cerkau,mencerkau
cerling,mencerling
cerocos,mencerocos
ceronggak,ceranggah
ceroteh,berceroteh
cerotok,ceratuk
cerowok,mencerowok
cerut,mencerut
ces,cos
cetai,bercetai-cetai
cetar,cetar-ceter
ceteng,menceteng
ciar,menciar-ciar
ciau,ciu
cibir,mencibir
cibit,mencibit
cicah,cecah
cicak,cecak
cici,cicit
cicih,cecah
cicip,mencicip
cicir,cecer
cidera,cedera
cikalang,cakalang
cikun,bercikun-cikun
cikut,cikutan
cilok,mencilok
cim,encim
cimpung,kecimpung
cincang,mencincang
cingah,cingangah
cingak,cingak-cinguk
cingbing,cengbeng
cingcau,cincau
cingcing,cincong
cingkau,cengkau
cingkeh,cengkih
cinteng,centeng
ciok,ciak
cipoa,sempoa
ciprat,menciprat
citak,cetak
cium,berciuman
clurit,celurit
coak,mencoaki
cobak-cabik,cabik
coblos,mencoblos
cocakrawa,cucakrawa
codak,mencodak
codang,codak
coket,mencoket
coklat,cokelat
cokol,bercokol
coleng,mencoleng
colet,colek
colong,mencolong
colot,mencolot
compreng,perahu
concong,menconcong
conet,menconet
congget,tercongget-congget
congkelang,congklang
congklak,congkak
congklang,mencongklang
congok,mencongok
congol,mencongol
contek,sontek
copar,cupar
copol,cupul
cor,mengecor
cotet,conet
cu,ciu
cuar,mencuar
cuat,bercuatan
cuban,coban
cuci-maki,maki
cucuh,mencucuh
cucup,mencucup
cugat,mencugatkan
cuit,bercuit-cuit
cukam,cekam
cukir,cungkil
cukur,bercukur
culi,coli
cumbul,cembul
cunda,cucunda
cungak,cungap
cungap,cungap-cangip
cunguk,cecunguk
cungul,mencungul
cunting,conteng
cupit,sumpit
cuplik,mencuplik
cureng,mencureng
curi,mencuri
curu,mencuru
dabak,mendabak
dabih,mendabih
dabik,mendabik
dabung,berdabung
dacing,dacin
dadak,mendadak
dadek,terdadek
daduh,mendaduh
daduk,mendaduk
dagel,mendagel
dakwat,dawat
daluwarsa,kedaluwarsa
dambun,dambin
damik,mendamik
dammah,damah
dampar,mendampar
dampil,berdampil
damprat,mendamprat
dangak,dongak
dangir,mendangir
danguk,berdanguk
dapar,bufer
daras,mendaras
darau,darat
darus,daras
dasa,dasa-
dastar,destar
dat,zat
daulah,daulat
dayu,mendayu
dayuh,terdayuh
dayuk,terdayuk
debar,berdebar
debet,debit
debitor,debitur
decah,decap
decus,desus
dedah,mendedahkan
dedai,berdedai-dedai
dedau,mendedau
deder,mendeder
deging,berdeging
dekah,berdekah-dekah
dekak,berdekak-dekak
dekam,berdekam
dekar,mendekar
deku,berdeku
dekus,berdekus
delat,berdelat-delat
delemak,delamak
delinggam,sedelinggam
delong,mendelong
deluang,jeluang
delujur,jelujur
